statefip,county,state,countyname,povn,povn_lo,povn_hi,poverty_pct,poverty_lo,poverty_hi
0,0,US,United States,48810868,48554692,49067044,15.8,15.7,15.9
1,0,AL,Alabama,889091,873141,905041,18.9,18.6,19.2
1,1,AL,Autauga County,7397,6109,8685,13.5,11.1,15.9
1,3,AL,Baldwin County,27429,23468,31390,14.2,12.1,16.3
1,5,AL,Barbour County,6654,5448,7860,28.2,23.1,33.3
1,7,AL,Bibb County,4689,3803,5575,23.1,18.7,27.5
1,9,AL,Blount County,9878,8390,11366,17.2,14.6,19.8
1,11,AL,Bullock County,3123,2452,3794,35.2,27.6,42.8
1,13,AL,Butler County,5731,4865,6597,28.8,24.5,33.1
1,15,AL,Calhoun County,24338,21584,27092,21.4,19,23.8
1,17,AL,Chambers County,7578,6373,8783,22.5,18.9,26.1
1,19,AL,Cherokee County,5199,4128,6270,20.1,16,24.2
1,21,AL,Chilton County,8841,7280,10402,20.3,16.7,23.9
1,23,AL,Choctaw County,2976,2383,3569,22.4,17.9,26.9
1,25,AL,Clarke County,6318,5232,7404,25.4,21,29.8
1,27,AL,Clay County,2590,2045,3135,19.6,15.5,23.7
1,29,AL,Cleburne County,2787,2213,3361,18.9,15,22.8
1,31,AL,Coffee County,9315,8053,10577,18.5,16,21
1,33,AL,Colbert County,8794,7247,10341,16.3,13.4,19.2
1,35,AL,Conecuh County,3900,3160,4640,30.5,24.7,36.3
1,37,AL,Coosa County,2141,1676,2606,19.9,15.6,24.2
1,39,AL,Covington County,7156,5711,8601,19.2,15.3,23.1
1,41,AL,Crenshaw County,3069,2490,3648,22.2,18,26.4
1,43,AL,Cullman County,13076,10859,15293,16.4,13.6,19.2
1,45,AL,Dale County,9804,8533,11075,20.1,17.5,22.7
1,47,AL,Dallas County,12975,10689,15261,31.3,25.8,36.8
1,49,AL,DeKalb County,14044,11197,16891,20,15.9,24.1
1,51,AL,Elmore County,10071,8186,11956,13.4,10.9,15.9
1,53,AL,Escambia County,9615,8116,11114,27.8,23.5,32.1
1,55,AL,Etowah County,19938,17074,22802,19.6,16.8,22.4
